path,fake,real
./sample_audio/real_real_0.ogg,0,1
./sample_audio/real_real_1.ogg,0,1
./sample_audio/real_real_2.ogg,0,1
./sample_audio/real_real_3.ogg,0,1
./sample_audio/real_real_4.ogg,0,1
./sample_audio/real_real_5.ogg,0,1
./sample_audio/real_real_6.ogg,0,1
./sample_audio/real_real_7.ogg,0,1
./sample_audio/real_real_8.ogg,0,1
./sample_audio/real_real_9.ogg,0,1
./sample_audio/real_real_10.ogg,0,1
./sample_audio/real_real_11.ogg,0,1
./sample_audio/real_real_12.ogg,0,1
./sample_audio/real_real_13.ogg,0,1
./sample_audio/real_real_14.ogg,0,1
./sample_audio/real_real_15.ogg,0,1
./sample_audio/real_real_16.ogg,0,1
./sample_audio/real_real_17.ogg,0,1
./sample_audio/real_real_18.ogg,0,1
./sample_audio/real_real_19.ogg,0,1
./sample_audio/real_real_20.ogg,0,1
./sample_audio/real_real_21.ogg,0,1
./sample_audio/real_real_22.ogg,0,1
./sample_audio/real_real_23.ogg,0,1
./sample_audio/real_real_24.ogg,0,1
./sample_audio/real_real_25.ogg,0,1
./sample_audio/real_real_26.ogg,0,1
./sample_audio/real_real_27.ogg,0,1
./sample_audio/real_real_28.ogg,0,1
./sample_audio/real_real_29.ogg,0,1
./sample_audio/real_real_30.ogg,0,1
./sample_audio/real_real_31.ogg,0,1
./sample_audio/real_real_32.ogg,0,1
./sample_audio/real_real_33.ogg,0,1
./sample_audio/real_real_34.ogg,0,1
./sample_audio/real_real_35.ogg,0,1
./sample_audio/real_real_36.ogg,0,1
./sample_audio/real_real_37.ogg,0,1
./sample_audio/real_real_38.ogg,0,1
./sample_audio/real_real_39.ogg,0,1
./sample_audio/real_real_40.ogg,0,1
./sample_audio/real_real_41.ogg,0,1
./sample_audio/real_real_42.ogg,0,1
./sample_audio/real_real_43.ogg,0,1
./sample_audio/real_real_44.ogg,0,1
./sample_audio/real_real_45.ogg,0,1
./sample_audio/real_real_46.ogg,0,1
./sample_audio/real_real_47.ogg,0,1
./sample_audio/real_real_48.ogg,0,1
./sample_audio/real_real_49.ogg,0,1
./sample_audio/real_real_50.ogg,0,1
./sample_audio/real_real_51.ogg,0,1
./sample_audio/real_real_52.ogg,0,1
./sample_audio/real_real_53.ogg,0,1
./sample_audio/real_real_54.ogg,0,1
./sample_audio/real_real_55.ogg,0,1
./sample_audio/real_real_56.ogg,0,1
./sample_audio/real_real_57.ogg,0,1
./sample_audio/real_real_58.ogg,0,1
./sample_audio/real_real_59.ogg,0,1
./sample_audio/real_real_60.ogg,0,1
./sample_audio/real_real_61.ogg,0,1
./sample_audio/real_real_62.ogg,0,1
./sample_audio/real_real_63.ogg,0,1
./sample_audio/real_real_64.ogg,0,1
./sample_audio/real_real_65.ogg,0,1
./sample_audio/real_real_66.ogg,0,1
./sample_audio/real_real_67.ogg,0,1
./sample_audio/real_real_68.ogg,0,1
./sample_audio/real_real_69.ogg,0,1
./sample_audio/real_real_70.ogg,0,1
./sample_audio/real_real_71.ogg,0,1
./sample_audio/real_real_72.ogg,0,1
./sample_audio/real_real_73.ogg,0,1
./sample_audio/real_real_74.ogg,0,1
./sample_audio/real_real_75.ogg,0,1
./sample_audio/real_real_76.ogg,0,1
./sample_audio/real_real_77.ogg,0,1
./sample_audio/real_real_78.ogg,0,1
./sample_audio/real_real_79.ogg,0,1
./sample_audio/real_real_80.ogg,0,1
./sample_audio/real_real_81.ogg,0,1
./sample_audio/real_real_82.ogg,0,1
./sample_audio/real_real_83.ogg,0,1
./sample_audio/real_real_84.ogg,0,1
./sample_audio/real_real_85.ogg,0,1
./sample_audio/real_real_86.ogg,0,1
./sample_audio/real_real_87.ogg,0,1
./sample_audio/real_real_88.ogg,0,1
./sample_audio/real_real_89.ogg,0,1
./sample_audio/real_real_90.ogg,0,1
./sample_audio/real_real_91.ogg,0,1
./sample_audio/real_real_92.ogg,0,1
./sample_audio/real_real_93.ogg,0,1
./sample_audio/real_real_94.ogg,0,1
./sample_audio/real_real_95.ogg,0,1
./sample_audio/real_real_96.ogg,0,1
./sample_audio/real_real_97.ogg,0,1
./sample_audio/real_real_98.ogg,0,1
./sample_audio/real_real_99.ogg,0,1
./sample_audio/real_real_100.ogg,0,1
./sample_audio/real_real_101.ogg,0,1
./sample_audio/real_real_102.ogg,0,1
./sample_audio/real_real_103.ogg,0,1
./sample_audio/real_real_104.ogg,0,1
./sample_audio/real_real_105.ogg,0,1
./sample_audio/real_real_106.ogg,0,1
./sample_audio/real_real_107.ogg,0,1
./sample_audio/real_real_108.ogg,0,1
./sample_audio/real_real_109.ogg,0,1
./sample_audio/real_real_110.ogg,0,1
./sample_audio/real_real_111.ogg,0,1
./sample_audio/real_real_112.ogg,0,1
./sample_audio/real_real_113.ogg,0,1
./sample_audio/real_real_114.ogg,0,1
./sample_audio/real_real_115.ogg,0,1
./sample_audio/real_real_116.ogg,0,1
./sample_audio/real_real_117.ogg,0,1
./sample_audio/real_real_118.ogg,0,1
./sample_audio/real_real_119.ogg,0,1
./sample_audio/real_real_120.ogg,0,1
./sample_audio/real_real_121.ogg,0,1
./sample_audio/real_real_122.ogg,0,1
./sample_audio/real_real_123.ogg,0,1
./sample_audio/real_real_124.ogg,0,1
./sample_audio/real_real_125.ogg,0,1
./sample_audio/real_real_126.ogg,0,1
./sample_audio/real_real_127.ogg,0,1
./sample_audio/real_real_128.ogg,0,1
./sample_audio/real_real_129.ogg,0,1
./sample_audio/real_real_130.ogg,0,1
./sample_audio/real_real_131.ogg,0,1
./sample_audio/real_real_132.ogg,0,1
./sample_audio/real_real_133.ogg,0,1
./sample_audio/real_real_134.ogg,0,1
./sample_audio/real_real_135.ogg,0,1
./sample_audio/real_real_136.ogg,0,1
./sample_audio/real_real_137.ogg,0,1
./sample_audio/real_real_138.ogg,0,1
./sample_audio/real_real_139.ogg,0,1
./sample_audio/real_real_140.ogg,0,1
./sample_audio/real_real_141.ogg,0,1
./sample_audio/real_real_142.ogg,0,1
./sample_audio/real_real_143.ogg,0,1
./sample_audio/real_real_144.ogg,0,1
./sample_audio/real_real_145.ogg,0,1
./sample_audio/real_real_146.ogg,0,1
./sample_audio/real_real_147.ogg,0,1
./sample_audio/real_real_148.ogg,0,1
./sample_audio/real_real_149.ogg,0,1
./sample_audio/real_real_150.ogg,0,1
./sample_audio/real_real_151.ogg,0,1
./sample_audio/real_real_152.ogg,0,1
./sample_audio/real_real_153.ogg,0,1
./sample_audio/real_real_154.ogg,0,1
./sample_audio/real_real_155.ogg,0,1
./sample_audio/real_real_156.ogg,0,1
./sample_audio/real_real_157.ogg,0,1
./sample_audio/real_real_158.ogg,0,1
./sample_audio/real_real_159.ogg,0,1
./sample_audio/real_real_160.ogg,0,1
./sample_audio/real_real_161.ogg,0,1
./sample_audio/real_real_162.ogg,0,1
./sample_audio/real_real_163.ogg,0,1
./sample_audio/real_real_164.ogg,0,1
./sample_audio/real_real_165.ogg,0,1
./sample_audio/real_real_166.ogg,0,1
./sample_audio/real_real_167.ogg,0,1
./sample_audio/real_real_168.ogg,0,1
./sample_audio/real_real_169.ogg,0,1
./sample_audio/real_real_170.ogg,0,1
./sample_audio/real_real_171.ogg,0,1
./sample_audio/real_real_172.ogg,0,1
./sample_audio/real_real_173.ogg,0,1
./sample_audio/real_real_174.ogg,0,1
./sample_audio/real_real_175.ogg,0,1
./sample_audio/real_real_176.ogg,0,1
./sample_audio/real_real_177.ogg,0,1
./sample_audio/real_real_178.ogg,0,1
./sample_audio/real_real_179.ogg,0,1
./sample_audio/real_real_180.ogg,0,1
./sample_audio/real_real_181.ogg,0,1
./sample_audio/real_real_182.ogg,0,1
./sample_audio/real_real_183.ogg,0,1
./sample_audio/real_real_184.ogg,0,1
./sample_audio/real_real_185.ogg,0,1
./sample_audio/real_real_186.ogg,0,1
./sample_audio/real_real_187.ogg,0,1
./sample_audio/real_real_188.ogg,0,1
./sample_audio/real_real_189.ogg,0,1
./sample_audio/real_real_190.ogg,0,1
./sample_audio/real_real_191.ogg,0,1
./sample_audio/real_real_192.ogg,0,1
./sample_audio/real_real_193.ogg,0,1
./sample_audio/real_real_194.ogg,0,1
./sample_audio/real_real_195.ogg,0,1
./sample_audio/real_real_196.ogg,0,1
./sample_audio/real_real_197.ogg,0,1
./sample_audio/real_real_198.ogg,0,1
./sample_audio/real_real_199.ogg,0,1
./sample_audio/real_real_200.ogg,0,1
./sample_audio/real_real_201.ogg,0,1
./sample_audio/real_real_202.ogg,0,1
./sample_audio/real_real_203.ogg,0,1
./sample_audio/real_real_204.ogg,0,1
./sample_audio/real_real_205.ogg,0,1
./sample_audio/real_real_206.ogg,0,1
./sample_audio/real_real_207.ogg,0,1
./sample_audio/real_real_208.ogg,0,1
./sample_audio/real_real_209.ogg,0,1
./sample_audio/real_real_210.ogg,0,1
./sample_audio/real_real_211.ogg,0,1
./sample_audio/real_real_212.ogg,0,1
./sample_audio/real_real_213.ogg,0,1
./sample_audio/real_real_214.ogg,0,1
./sample_audio/real_real_215.ogg,0,1
